code_qua,nom,NOM_CO,area_sq_km,lidar_point_count,points_per_sq_km,mean_height_m,median_height_m,p10_height_m,p90_height_m,min_height_m,max_height_m,std_height_m
1320807,Le Rouet,Marseille 8e Arrondissement,0.6508851686687468,1302,2000.352846667218,8.188387096774195,7.84,3.4019999999999997,13.439,1.5,51.97,4.04851586597685
1321001,La Capelette,Marseille 10e Arrondissement,1.246830562365589,2212,1774.0983151738055,8.873634719710669,7.79,3.2420000000000004,16.12,1.52,31.55,5.428761819863989
1320203,Hôtel-de-Ville,Marseille 2e Arrondissement,0.34411156888988526,292,848.561996744257,8.898732876712328,7.785,3.119,15.823000000000002,1.73,20.1,4.562846684531958
1320704,Le Pharo,Marseille 7e Arrondissement,0.49297104915272083,565,1146.1119288264022,8.639787610619468,7.74,2.672,15.366,1.54,30.64,5.446483570905554
1321109,La Treille,Marseille 11e Arrondissement,1.6107031177728335,8550,5308.240795996184,8.740794152046783,7.59,2.92,16.531000000000006,1.5,28.96,5.193854515573182
1320504,Saint-Pierre,Marseille 5e Arrondissement,0.5067464243253187,1021,2014.8144140520728,8.588893241919687,7.53,3.27,15.98,1.5,26.32,4.776429305573417
1320805,La Plage,Marseille 8e Arrondissement,0.8487696894327553,2451,2887.709151864315,7.94172582619339,7.43,3.36,13.5,1.52,25.22,3.9005656627848238
1320501,Baille,Marseille 5e Arrondissement,0.6251720928961183,1123,1796.3053897650598,7.968753339269813,7.39,3.122,13.65,1.56,22.31,4.054113605386358
1320904,Mazargues,Marseille 9e Arrondissement,2.372157013496116,8066,3400.2808220996403,8.02639474336722,7.36,3.03,13.86,1.5,49.24,4.459691853373654
1321308,La Rose,Marseille 13e Arrondissement,1.6169648323468173,5316,3287.6410752140523,8.14824115876599,7.31,3.065,14.425,1.51,36.6,4.445072320142301
1321111,La Valentine,Marseille 11e Arrondissement,3.477116525889395,12527,3602.697783271954,8.136936217769618,7.3,2.79,14.89,1.5,29.33,4.700342932139018
1321106,La Pomme,Marseille 11e Arrondissement,2.047146016069628,6231,3043.749664698109,8.083277162574225,7.25,2.89,14.42,1.5,40.44,4.603926670067756
1321503,La Cabucelle,Marseille 15e Arrondissement,0.9766631470821443,2039,2087.7208340374755,8.127302599313388,7.23,2.85,14.92,1.51,29.84,4.73486222571622
1320302,Saint-Lazare,Marseille 3e Arrondissement,0.5537264872116116,933,1684.9473910816291,8.891307609860664,7.2,3.724,16.444000000000006,1.51,63.05,5.869968231914601
1320809,Sainte-Anne,Marseille 8e Arrondissement,1.621290426470247,5335,3290.5887266693885,8.02331771321462,7.19,3.13,13.636000000000005,1.52,38.47,4.587148875934603
1320707,Saint-Victor,Marseille 7e Arrondissement,0.43969446440801024,773,1758.0389624434802,7.633234152652005,7.18,2.93,12.738000000000001,1.5,21.1,3.983985609936265
1321405,Saint-Barthélemy,Marseille 14e Arrondissement,1.7577732709491425,5138,2923.0163439825437,7.770284157259634,7.11,2.92,13.543000000000001,1.52,28.57,4.075066677031953
1320104,Opéra,Marseille 1er Arrondissement,0.19519691713577542,77,394.4734431765651,8.105194805194806,7.0,4.72,14.27000000000002,3.08,19.44,3.8581702816332415
1320301,Belle de Mai,Marseille 3e Arrondissement,0.8251030288684459,1502,1820.3787253815526,7.83237017310253,6.97,2.8009999999999997,14.377000000000004,1.52,29.99,4.434364664917415
1321310,Saint-Just,Marseille 13e Arrondissement,1.4850312322835835,4580,3084.110219659944,7.8077794759825325,6.9350000000000005,2.98,13.881000000000004,1.5,45.4,4.3486225705426635
1320606,Vauban,Marseille 6e Arrondissement,0.5850376600309797,1417,2422.0662989882826,7.758842625264644,6.92,3.59,12.328000000000001,1.5,41.77,4.499572319750813
1320906,Le Redon,Marseille 9e Arrondissement,9.645260047223456,45106,4676.493923353004,7.242574158648517,6.86,2.46,12.3,1.5,65.76,4.094773523360514
1321502,Borel,Marseille 15e Arrondissement,1.1277523005467276,4545,4030.140304565649,8.24496809680968,6.86,2.73,15.78,1.5,24.76,4.987192042373325
1321401,Les Arnavaux,Marseille 14e Arrondissement,1.49613624863047,2705,1807.9904169664342,7.269327171903881,6.85,2.65,12.365999999999998,1.5,22.43,3.7407178700390658
1321207,Les Trois-Lucs,Marseille 12e Arrondissement,3.2837427295601476,13569,4132.175117694907,8.224092416537697,6.84,2.81,15.992000000000008,1.5,26.07,4.996571475230155
1320908,Sainte-Marguerite,Marseille 9e Arrondissement,2.468881944033724,7423,3006.624119042366,7.615309174188334,6.81,2.93,13.37,1.5,41.13,4.151455758953184
1321005,Saint-Tronc,Marseille 10e Arrondissement,3.512656033710326,7796,2219.403188124085,7.385386095433556,6.8,2.285,13.225000000000001,1.5,36.39,4.319831808693624
1320905,La Panouse,Marseille 9e Arrondissement,1.6260628542291098,4801,2952.530394205504,7.730693605498854,6.73,2.23,14.39,1.5,47.24,4.7502350597605
1320402,Les Chartreux,Marseille 4e Arrondissement,0.5988979666090176,1182,1973.62500108746,7.805016920473774,6.725,3.1,14.297000000000004,1.5,23.91,4.497003852473673
1320901,Les Baumettes,Marseille 9e Arrondissement,7.07319657663722,32131,4542.642022155689,7.021350409262084,6.61,2.68,11.57,1.5,82.59,3.663634932457635
1320705,Le Roucas Blanc,Marseille 7e Arrondissement,1.2178078560419008,5306,4357.009173224974,7.298066339992461,6.56,3.04,12.815000000000001,1.52,22.16,3.734328873047097
1320204,La Joliette,Marseille 2e Arrondissement,0.6936849081925965,951,1370.9394406140977,7.3760147213459515,6.56,3.91,11.23,1.6,30.23,3.702848888397871
1321402,Bon-Secours,Marseille 14e Arrondissement,0.8178431696112668,2001,2446.679356570411,7.064792603698151,6.52,2.8,11.95,1.5,26.23,3.5940144364575466
1320403,Chutes-Lavie,Marseille 4e Arrondissement,0.6733859869295235,1645,2442.878277733103,7.469884498480242,6.51,2.94,13.056000000000003,1.51,51.62,4.506321234596613
1321504,La Calade,Marseille 15e Arrondissement,1.1106080510890852,2621,2359.968485218339,7.15151468904998,6.5,2.56,12.44,1.5,36.05,3.945032042879404
1321509,Saint-Louis,Marseille 15e Arrondissement,1.519532363242312,3871,2547.4942776080325,7.140219581503488,6.5,2.73,12.07,1.51,25.35,3.8752297093990062
